"ds";"y"
2021-01-02;"3278750.6300000"
2021-01-03;"1474461.5700000"
2021-01-04;"5212087.3100000"
2021-01-05;"6610381.3300000"
2021-01-06;"8738545.1100000"
2021-01-07;"8946489.1300000"
2021-01-08;"2775672.8800000"
2021-01-09;"6319371.5600000"
2021-01-10;"2461776.0000000"
2021-01-11;"6197450.8500000"
2021-01-12;"8414685.7700000"
2021-01-13;"9510884.8100000"
2021-01-14;"9389810.6200000"
2021-01-15;"4433665.1400000"
2021-01-16;"5464670.2200000"
2021-01-17;"3006436.2900000"
2021-01-18;"6259004.3700000"
2021-01-19;"9220877.8500000"
2021-01-20;"10474033.4700000"
2021-01-21;"7884047.3300000"
2021-01-22;"4312682.0200000"
2021-01-23;"4879048.3100000"
2021-01-24;"2209591.7200000"
2021-01-25;"7357638.5500000"
2021-01-26;"7798750.2300000"
2021-01-27;"10510867.2100000"
2021-01-28;"9880037.7300000"
2021-01-29;"6514603.0500000"
2021-01-30;"9011252.4700000"
2021-01-31;"6762476.1600000"
2021-02-01;"4266522.4000000"
2021-02-02;"6783999.5000000"
2021-02-03;"7873242.9900000"
2021-02-04;"7855666.8500000"
2021-02-05;"3886748.7400000"
2021-02-06;"6406289.0000000"
2021-02-07;"2648066.2100000"
2021-02-08;"7208996.0200000"
2021-02-09;"8584377.8500000"
2021-02-10;"11615434.7000000"
2021-02-11;"10535648.4700000"
2021-02-12;"6186145.6200000"
2021-02-13;"4932456.5400000"
2021-02-14;"2457276.0400000"
2021-02-15;"4742961.0500000"
2021-02-16;"7437188.7400000"
2021-02-17;"8462832.0800000"
2021-02-18;"7993500.7100000"
2021-02-19;"4139809.3900000"
2021-02-20;"5236747.2000000"
2021-02-21;"1243772.5600000"
2021-02-22;"6388957.6100000"
2021-02-23;"8491793.3600000"
2021-02-24;"9586775.4900000"
2021-02-25;"7643321.1600000"
2021-02-26;"5234699.1200000"
2021-02-27;"7266542.4800000"
2021-02-28;"4541903.5500000"
2021-03-01;"3182531.0000000"
2021-03-02;"6206537.1200000"
2021-03-03;"8296787.7600000"
2021-03-04;"7936073.6900000"
2021-03-05;"3783239.3500000"
2021-03-06;"4925626.9700000"
2021-03-07;"2360190.5000000"
2021-03-08;"4985608.1600000"
2021-03-09;"7794312.7900000"
2021-03-10;"9522093.4800000"
